PP, HT, TT, TD, DD, FF, THETA, U, V, QSAT, Q
100700.000000, 0.000000, 303.300000, 298.800000, 350.000000, 3.100000, 302.695512, 0.538309, -3.052904, 0.02759150294843286000, 0.02364108295468479000
100000.000000, 58.000000, 301.900000, 295.900000, 305.000000, 5.100000, 301.900000, 4.177675, -2.925240, 0.02555005292578845300, 0.02083120353924304600
92500.000000, 748.000000, 296.500000, 292.700000, 340.000000, 4.600000, 303.185315, 1.573293, -4.322586, 0.01989458659985872700, 0.01735323660161318700
85000.000000, 1483.000000, 293.100000, 285.100000, 350.000000, 5.700000, 307.044983, 0.989795, -5.613404, 0.01752000427120856500, 0.01324042786574011100
70000.000000, 3135.000000, 284.700000, 276.700000, 90.000000, 7.700000, 315.274923, -7.700000, -0.000000, 0.01232179740249860500, 0.00707277973167314610
50000.000000, 5849.000000, 265.400000, 263.500000, 55.000000, 5.100000, 323.590302, -4.177675, -2.925240, 0.00427283603909226710, 0.00367967304006187920
40000.000000, 7569.000000, 257.200000, 235.200000, 75.000000, 10.300000, 334.257997, -9.949036, -2.665836, 0.00275769210163486760, 0.00036290127749442420
30000.000000, 9679.000000, 242.000000, 230.000000, 15.000000, 7.200000, 341.474822, -1.863497, -6.954666, 0.00094638881774131373, 0.00028121778029303949
25000.000000, 10939.000000, 232.400000, 221.400000, 45.000000, 9.300000, 345.481886, -6.576093, -6.576093, 0.00043507646348611587, 0.00007864783653937324
20000.000000, 12419.000000, 220.200000, 210.200000, 65.000000, 8.700000, 348.917487, -7.884878, -3.676779, 0.00014008310159469259, 0.00002239021545900042
15000.000000, 14219.000000, 206.000000, NaN, 115.000000, 5.100000, 354.409309, -4.622170, 2.155353, 0.00003041607273947703, 0.00000311745959021428
10000.000000, 16559.000000, 191.800000, NaN, 60.000000, 5.100000, 370.551523, -4.416730, -2.550000, 0.00000533177518565794, 0.00000024836675479844
7000.000000, 18569.000000, 192.800000, NaN, 280.000000, 11.800000, 412.485788, 11.620731, -2.049048, 0.00000897876589805627, 0.00000003272164140996
5000.000000, 20529.000000, 207.200000, NaN, 250.000000, 8.700000, 488.072490, 8.175326, 2.975575, 0.00010760929500950391, 0.00000041889614655984
3000.000000, 23669.000000, 216.400000, 184.400000, 80.000000, 11.800000, 589.930130, -11.620731, -2.049048, 0.00059095950007948049, 0.00000251116780863687
2000.000000, 26259.000000, 219.800000, 186.800000, 95.000000, 18.500000, 672.873011, -18.429602, 1.612381, 0.00133857700662704300, 0.00000577344746589038
1000.000000, 30879.000000, 230.000000, 194.000000, 90.000000, 28.800000, 858.475363, -28.800000, -0.000000, 0.00854861810140281240, 0.00003905479501968899
